,20241212_1515_kankakee_grantpa_kankakee,20241212_1515_lakecou_granite_lakecou,20241212_1515_sangamon_elpaso-_sangamon,20241212_1515_southco_thornton_southco,20241212_1515_westcen_warsawc_westcen,20241212_1515_westcoo_berkeley_westcoo,20241212_1515_kankakee_grantpa_kankakee,20241212_1515_lakecou_granite_lakecou,20241212_1515_sangamon_elpaso-_sangamon,20241212_1515_southco_thornton_southco,20241212_1515_westcen_warsawc_westcen,20241212_1515_westcoo_berkeley_westcoo
,,,,,,,,,,,,
Full Folder,https://drive.google.com/drive/folders/1fM87L1aQTS36HfknaIr_Uhnn77urHsQZ,https://drive.google.com/drive/folders/1sUF0hFmyyGzWfT9oF-E1-6zmHCRMMa7i,https://drive.google.com/drive/folders/12TMY6iZcr6zbmYntY21f40VmNlPw44rr,https://drive.google.com/drive/folders/10feAuFDx9BjqJl7werJBaM3vU9h04ckZ,https://drive.google.com/drive/folders/1GWazRI1k-um6dTfgIiaJX1l1RmQ9JvKv,https://drive.google.com/drive/folders/1AdESU8TrsUdP4jvRlNYV9exNdc7ZsJ7B,https://drive.google.com/drive/folders/1fM87L1aQTS36HfknaIr_Uhnn77urHsQZ,https://drive.google.com/drive/folders/1sUF0hFmyyGzWfT9oF-E1-6zmHCRMMa7i,https://drive.google.com/drive/folders/12TMY6iZcr6zbmYntY21f40VmNlPw44rr,https://drive.google.com/drive/folders/10feAuFDx9BjqJl7werJBaM3vU9h04ckZ,https://drive.google.com/drive/folders/1GWazRI1k-um6dTfgIiaJX1l1RmQ9JvKv,https://drive.google.com/drive/folders/1AdESU8TrsUdP4jvRlNYV9exNdc7ZsJ7B
Waiver,https://docs.google.com/document/d/187kDc-ndnYhIUHAWuIIUU6UAnP-MLJKs/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1zHEgwY78wPJpYMv0L_vilpAKXw_H1hX3/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1ABQb7TmfkBapgIhgF19fbXtiIwVJJoIF/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1yhu6tFdxoYxxIezj6ovW3tHTgi158GlJ/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1r4f4KZYeCIUBetYQ7eqMzTU_KOvvQW6B/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1tb-8MM_50y1QRWeHUGh-JGF0_eack6jX/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,
Settlement Agreement,https://docs.google.com/document/d/1T5HNWw2VcmzXLybO6K6PhewJjiBpM274/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1sFIvUjfzz9C8wgh00k30KUZyJcQwLZDG/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1TMHuZcRmmb9e77sEyL5LqayuQ-YiEfpz/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1SfkTzI7s7fkGCRCZaOfoiYyMj_wDlU8g/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1MbKYChyy24KBVSZjHVVa6X4IPP9NUfOK/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/18oUpa_xoE44oasw2VuBXCVZxQPtY-EaS/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,
Demand Letter,https://docs.google.com/document/d/1g4Ri27ZvwCEwGxhujWjR-EobJmN7CNTo/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1-1soJoPUUBIumLGEmiL0d4of7Au072VY/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1itHdEVckltKsBUWH_SY3a7z7ThffQq2b/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/10NKMaLZLF_KPHzM4wT9mzZMf9wH-gVHN/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1SUCUJVPZoQfFtp3KDgvZ5fDxVa5HENRT/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1ySbTOJA8I4ltO9UmwYOZECELTwjhgcJS/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,
Source Data,https://docs.google.com/document/d/1JPsaNEyCFMxHaXaZj8yx-_HvZhUaiq6r/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1MJXLTgYY_kvkCtRGHyNJq57d5CsUOQ2c/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1T8k414nIlwEhxhSL7BOvHkBNfjXftfj3/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1D0JK4oe7rR8FGJu05z8kJ0fmxKGPpEbC/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1RA1OiyGIKVy4obfj1tbP6hQDxhUA2BOU/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,,https://docs.google.com/document/d/1mT93Q-oelWVfDUXK3VEGNzmx8db6XkRW/edit?usp=drivesdk&ouid=102823163836317807348&rtpof=true&sd=true,
Waiver Track Changes,,,,,,,,,,,,
Settlement Agreement Track Changes,,,,,,,,,,,,
Demand Letter Track Changes,,,,,,,,,,,,
Lawyer,,,,,,,,,,,,
Judge,,,,,,,,,,,,
Defendant Email,,,,,,,,,,,,
W_Name,,,,,,,,,,,,
Lawyer Review,,,,,,,,,,,,
